Restaurants_Name,Cost_of_two,Areas,Reatings,Discounts
Dindigul Thalappakatti,Multicuisine₹950 for two,"MG Road, Central Bengaluru  | View All(10) Outlets","Dindigul ThalappakattiMG Road, Central Bengaluru  | View All(10) OutletsMulticuisine₹950 for two4.9",25% Off :Payeazy
Dindigul Thalappakatti,Multicuisine₹950 for two,"MG Road, Central Bengaluru  | View All(10) Outlets","Dindigul ThalappakattiMG Road, Central Bengaluru  | View All(10) OutletsMulticuisine₹950 for two4.9",25% Off :Payeazy
Smoke House Deli,European₹2000 for two,"Lavelle Road, Central Bengaluru  | View All(2) Outlets","Smoke House DeliLavelle Road, Central Bengaluru  | View All(2) OutletsEuropean₹2000 for two4.4",25% Off :Payeazy
Smoke House Deli,European₹2000 for two,"Lavelle Road, Central Bengaluru  | View All(2) Outlets","Smoke House DeliLavelle Road, Central Bengaluru  | View All(2) OutletsEuropean₹2000 for two4.4",25% Off :Payeazy
24/7,Multicuisine₹2500 for two,The Lalit Ashok Bengaluru,24/7The Lalit Ashok BengaluruMulticuisine₹2500 for two3.9,Flat 15% + 25% with Bank Offers
24/7,Multicuisine₹2500 for two,The Lalit Ashok Bengaluru,24/7The Lalit Ashok BengaluruMulticuisine₹2500 for two3.9,Flat 15% + 25% with Bank Offers
Caraway Kitchen,"Continental, Asian, Indian₹3000 for two",Conrad Bengaluru,"Caraway KitchenConrad BengaluruContinental, Asian, Indian₹3000 for two4.4",Flat 10% + 25% with Bank Offers
Caraway Kitchen,"Continental, Asian, Indian₹3000 for two",Conrad Bengaluru,"Caraway KitchenConrad BengaluruContinental, Asian, Indian₹3000 for two4.4",Flat 10% + 25% with Bank Offers
Juliet,"European, Asian₹3000 for two","1MG Road Mall, MG Road","Juliet1MG Road Mall, MG RoadEuropean, Asian₹3000 for two3.9",Flat 10% + 25% with Bank Offers
Juliet,"European, Asian₹3000 for two","1MG Road Mall, MG Road","Juliet1MG Road Mall, MG RoadEuropean, Asian₹3000 for two3.9",Flat 10% + 25% with Bank Offers
Gufha Restaurant,Multicuisine₹2000 for two,"Guttahalli, North Bengaluru","Gufha RestaurantGuttahalli, North BengaluruMulticuisine₹2000 for two4.6",Flat 10% + 25% with Bank Offers
Gufha Restaurant,Multicuisine₹2000 for two,"Guttahalli, North Bengaluru","Gufha RestaurantGuttahalli, North BengaluruMulticuisine₹2000 for two4.6",Flat 10% + 25% with Bank Offers
"Salt - Indian Restaurant, Bar & Grill","Indian, Cocktail Menu₹2000 for two","UB City, Central Bengaluru  | View All(7) Outlets","Salt - Indian Restaurant, Bar & GrillUB City, Central Bengaluru  | View All(7) OutletsIndian, Cocktail Menu₹2000 for two4.4",25% Off :Payeazy
"Salt - Indian Restaurant, Bar & Grill","Indian, Cocktail Menu₹2000 for two","UB City, Central Bengaluru  | View All(7) Outlets","Salt - Indian Restaurant, Bar & GrillUB City, Central Bengaluru  | View All(7) OutletsIndian, Cocktail Menu₹2000 for two4.4",25% Off :Payeazy
Hype,Cocktail Menu₹2500 for two,Shangri-La Bengaluru,HypeShangri-La BengaluruCocktail Menu₹2500 for two4.1,Flat 10% + 25% with Bank Offers
Hype,Cocktail Menu₹2500 for two,Shangri-La Bengaluru,HypeShangri-La BengaluruCocktail Menu₹2500 for two4.1,Flat 10% + 25% with Bank Offers
T'art Cafe,Fast Food₹2000 for two,"Brigade Road, Central Bengaluru","T'art CafeBrigade Road, Central BengaluruFast Food₹2000 for two4.4",Flat 10% + 25% with Bank Offers
T'art Cafe,Fast Food₹2000 for two,"Brigade Road, Central Bengaluru","T'art CafeBrigade Road, Central BengaluruFast Food₹2000 for two4.4",Flat 10% + 25% with Bank Offers
Foo Brigade Road,"Asian, Chinese, Sushi₹2500 for two","Brigade Road, Central Bengaluru","Foo Brigade RoadBrigade Road, Central BengaluruAsian, Chinese, Sushi₹2500 for two4.4",25% Off :Payeazy
Foo Brigade Road,"Asian, Chinese, Sushi₹2500 for two","Brigade Road, Central Bengaluru","Foo Brigade RoadBrigade Road, Central BengaluruAsian, Chinese, Sushi₹2500 for two4.4",25% Off :Payeazy
Nasi and Mee,Asian₹2000 for two,"Richmond Town, Central Bengaluru  | View All(6) Outlets","Nasi and MeeRichmond Town, Central Bengaluru  | View All(6) OutletsAsian₹2000 for two4.7",25% Off :Payeazy
Nasi and Mee,Asian₹2000 for two,"Richmond Town, Central Bengaluru  | View All(6) Outlets","Nasi and MeeRichmond Town, Central Bengaluru  | View All(6) OutletsAsian₹2000 for two4.7",25% Off :Payeazy
Heyou,"Pan Asian, Asian, Continental₹1800 for two","Ashok Nagar, Bengaluru","HeyouAshok Nagar, BengaluruPan Asian, Asian, Continental₹1800 for two4.0",25% Off :Payeazy
Heyou,"Pan Asian, Asian, Continental₹1800 for two","Ashok Nagar, Bengaluru","HeyouAshok Nagar, BengaluruPan Asian, Asian, Continental₹1800 for two4.0",25% Off :Payeazy
Sana-Di-Ge ,"Biryani, Seafood, Regional Indian₹2000 for two","Goldfinch Hotel, Seshadripuram","Sana-Di-Ge Goldfinch Hotel, SeshadripuramBiryani, Seafood, Regional Indian₹2000 for two4.4",Flat 10% + 25% with Bank Offers
