Restaurants_Name,Cuisine,area,region,Discount,cost_of_two,ratings
Sadda Punjabi Dhaba,North Indian,Konanakunte,South Bengaluru,35,800,3.5
Sadda Punjabi Dhaba,North Indian,Konanakunte,South Bengaluru,35,800,3.5
Tamarind,Multicuisine,Banaswadi,North Bengaluru,25,2000,4.6
Tamarind,Multicuisine,Banaswadi,North Bengaluru,25,2000,4.6
Naati Cafe,South Indian,Koramangala,South Bengaluru,25,2000,3.3
Naati Cafe,South Indian,Koramangala,South Bengaluru,25,2000,3.3
Xin Den,Pan Asian,HSR,South Bengaluru,35,2000,4.0
Xin Den,Pan Asian,HSR,South Bengaluru,35,2000,4.0
"Gwalia - Sweets, Namkeen & Restaurant",North Indian,HSR,South Bengaluru,35,2000,5.0
"Gwalia - Sweets, Namkeen & Restaurant",North Indian,HSR,South Bengaluru,35,2000,5.0
Classic Matsya Sagara,"Mangalorean, Seafood",kengeri,South Bengaluru,35,600,5.0
Classic Matsya Sagara,"Mangalorean, Seafood",kengeri,South Bengaluru,35,600,5.0
Rosmarino Restaurant,"Italian, Continental",Indiranagar,East Bengaluru,25,1500,5.0
Rosmarino Restaurant,"Italian, Continental",Indiranagar,East Bengaluru,25,1500,5.0
The Punjabi Rasoi,North Indian,Kalyan Nagar,North Bengaluru,25,800,4.2
The Punjabi Rasoi,North Indian,Kalyan Nagar,North Bengaluru,25,800,4.2
Jungle Feast Bar & Restaurant,Multicuisine,JP Nagar,South Bengaluru,35,1000,5.0
Jungle Feast Bar & Restaurant,Multicuisine,JP Nagar,South Bengaluru,35,1000,5.0
Salone Ceylon By Harpo,Multicuisine,International Airport,North Bengaluru,35,2000,4.7
Salone Ceylon By Harpo,Multicuisine,International Airport,North Bengaluru,35,2000,4.7
Sichuan,Chinese,,,40,2000,3.7
Sichuan,Chinese,,,40,2000,3.7
Barrel House Bar And Kitchen,Multicuisine,Bannerghatta Road,South Bengaluru,25,2000,4.8
Barrel House Bar And Kitchen,Multicuisine,Bannerghatta Road,South Bengaluru,25,2000,4.8
Flyover Drinkery,Multicuisine,,,25,2000,4.4
Flyover Drinkery,Multicuisine,,,25,2000,4.4
The Buzz House,Multicuisine,Anekal,South Bengaluru,25,1200,4.9
The Buzz House,Multicuisine,Anekal,South Bengaluru,25,1200,4.9
Hokkaido Manga Cafe Japanese & Korean Restaurant,"Japanese, Korean",Indiranagar,East Bengaluru,35,2000,4.2
Hokkaido Manga Cafe Japanese & Korean Restaurant,"Japanese, Korean",Indiranagar,East Bengaluru,35,2000,4.2
Cave-n-Dine,Multicuisine,Basaveshwara Nagar,West Bengaluru,25,2000,4.5
Cave-n-Dine,Multicuisine,Basaveshwara Nagar,West Bengaluru,25,2000,4.5
MATSYA,Multicuisine,,,25,800,4.1
MATSYA,Multicuisine,,,25,800,4.1
Out of Office Restobar,Multicuisine,Mahadevapura,Bengaluru,25,1000,4.7
Out of Office Restobar,Multicuisine,Mahadevapura,Bengaluru,25,1000,4.7
Sitara Dakshin,Multicuisine,Indiranagar,East Bengaluru,25,2000,4.6
Sitara Dakshin,Multicuisine,Indiranagar,East Bengaluru,25,2000,4.6
Coffea Koramangala,Coffee,Koramangala,South Bengaluru,25,500,3.0
Coffea Koramangala,Coffee,Koramangala,South Bengaluru,25,500,3.0
Tales of Flamingo (TOF),Multicuisine,Bannerghatta Road,South Bengaluru,25,2000,4.0
Tales of Flamingo (TOF),Multicuisine,Bannerghatta Road,South Bengaluru,25,2000,4.0
Luna Lite Resto,Multicuisine,Krishna Reddy Layout,Bengaluru,35,3000,3.7
Luna Lite Resto,Multicuisine,Krishna Reddy Layout,Bengaluru,35,3000,3.7
R Bar,"Cocktail Menu, Finger Food",Renaissance,Bengaluru,35,2000,4.8
R Bar,"Cocktail Menu, Finger Food",Renaissance,Bengaluru,35,2000,4.8
Jalpaan,Multicuisine,Jayanagar,South Bengaluru,25,2000,4.2
Jalpaan,Multicuisine,Jayanagar,South Bengaluru,25,2000,4.2
Bamey's Restro Cafe,"Chinese, Nepalese",Koramangala,South Bengaluru,25,2000,4.3
Bamey's Restro Cafe,"Chinese, Nepalese",Koramangala,South Bengaluru,25,2000,4.3
Harmakki Coffee,Cafe,Malleshwaram,West Bengaluru,35,2500,4.0
Harmakki Coffee,Cafe,Malleshwaram,West Bengaluru,35,2500,4.0
Little India,"Mughlai, Indian",Koramangala 6th Block,South Bengaluru,35,700,4.0
Little India,"Mughlai, Indian",Koramangala 6th Block,South Bengaluru,35,700,4.0
Purple Pitch,"Finger Food, Cocktail Menu",Electronic City Phase 1,South Bengaluru,40,1600,4.0
Purple Pitch,"Finger Food, Cocktail Menu",Electronic City Phase 1,South Bengaluru,40,1600,4.0
Harvest Salad Cafe,Multicuisine,12th main,East Bengaluru,25,1000,5.0
Harvest Salad Cafe,Multicuisine,12th main,East Bengaluru,25,1000,5.0
Kebapci,Turkish,,,25,2000,4.8
Kebapci,Turkish,,,25,2000,4.8
Morf,Multicuisine,,,35,2000,5.0
Morf,Multicuisine,,,35,2000,5.0
The Hood,Indian,Ashok Nagar,Bengaluru,25,3000,5.0
The Hood,Indian,Ashok Nagar,Bengaluru,25,3000,5.0
Poco A poco - Crescendo,Global Cuisine,Akshayanagar,South Bengaluru,25,3000,5.0
Poco A poco - Crescendo,Global Cuisine,Akshayanagar,South Bengaluru,25,3000,5.0
Kings Club,Multicuisine,Kings Club,Bengaluru,35,2000,4.3
Kings Club,Multicuisine,Kings Club,Bengaluru,35,2000,4.3
SOL55 - COMMUNITY BAR ,Multicuisine,Koramangala 4th Block,South Bengaluru,25,1500,4.8
SOL55 - COMMUNITY BAR ,Multicuisine,Koramangala 4th Block,South Bengaluru,25,1500,4.8
Punjab Grill,North Indian,Mahadevapura,Bengaluru,25,900,4.0
Punjab Grill,North Indian,Mahadevapura,Bengaluru,25,900,4.0
Obsidian Sports & Music Bar,Multicuisine,,,35,2000,4.8
Obsidian Sports & Music Bar,Multicuisine,,,35,2000,4.8
Tim Hortons,Coffee,Koramangala,South Bengaluru,40,2000,4.6
Tim Hortons,Coffee,Koramangala,South Bengaluru,40,2000,4.6
MisoSexy,"Pan Asian, Asian",12th main,East Bengaluru,25,2000,4.3
MisoSexy,"Pan Asian, Asian",12th main,East Bengaluru,25,2000,4.3
Board In The City,Multicuisine,Koramangala,South Bengaluru,35,2000,2.7
Board In The City,Multicuisine,Koramangala,South Bengaluru,35,2000,2.7
Black Velvet,Multicuisine,,,40,2000,3.3
Black Velvet,Multicuisine,,,40,2000,3.3
Theo Cafe,"Pan Asian, Continental",Kothanur,Bengaluru,25,1500,3.8
Theo Cafe,"Pan Asian, Continental",Kothanur,Bengaluru,25,1500,3.8
The Soya Chaap Co.,North Indian,Bannerghatta Road,South Bengaluru,35,500,5.0
The Soya Chaap Co.,North Indian,Bannerghatta Road,South Bengaluru,35,500,5.0
Siciliana,"Italian, Continental","Phoenix Mall Of Asia, Yelahanka",Bengaluru,25,1500,5.0
Siciliana,"Italian, Continental","Phoenix Mall Of Asia, Yelahanka",Bengaluru,25,1500,5.0
Sarayu Flavours,Multicuisine,Rajajinagar,West Bengaluru,35,2000,4.0
Sarayu Flavours,Multicuisine,Rajajinagar,West Bengaluru,35,2000,4.0
Keys Cafe ,Multicuisine,,,25,2000,4.0
Keys Cafe ,Multicuisine,,,25,2000,4.0
Bao To Me,Multicuisine,Koramangala 1st Block,South Bengaluru,25,1100,4.8
Bao To Me,Multicuisine,Koramangala 1st Block,South Bengaluru,25,1100,4.8
Le Cirque Signature ,Italian,The Leela Palace,Bengaluru,35,9440,4.1
Le Cirque Signature ,Italian,The Leela Palace,Bengaluru,35,9440,4.1
Nazaara,Indian,Courtyard by Marriott,Bengaluru,35,3000,4.1
Nazaara,Indian,Courtyard by Marriott,Bengaluru,35,3000,4.1
Shegan Bar & Kitchen,Multicuisine,Hennur,North Bengaluru,35,2000,4.2
Shegan Bar & Kitchen,Multicuisine,Hennur,North Bengaluru,35,2000,4.2
Citrus Café – Peninsula Suites Operated by Lemon Tree Hotels,Multicuisine,Peninsula Suites,Bengaluru,40,2000,4.0
Citrus Café – Peninsula Suites Operated by Lemon Tree Hotels,Multicuisine,Peninsula Suites,Bengaluru,40,2000,4.0
Slounge,Multicuisine,Peninsula Suites,Bengaluru,40,2000,4.0
Slounge,Multicuisine,Peninsula Suites,Bengaluru,40,2000,4.0
Sugar Factory Reloaded,"Finger Food, Cocktail Menu",Koramangala,South Bengaluru,35,2000,2.9
Sugar Factory Reloaded,"Finger Food, Cocktail Menu",Koramangala,South Bengaluru,35,2000,2.9
DE Fish Restaurant,"Seafood, Indian Coastal Cuisine",Kalyan Nagar,North Bengaluru,25,600,3.0
DE Fish Restaurant,"Seafood, Indian Coastal Cuisine",Kalyan Nagar,North Bengaluru,25,600,3.0
Karigari By Chef Harpal Singh Sokhi,Multicuisine,"Phoenix Mall Of Asia, Yelahanka",Bengaluru,25,2000,4.3
Karigari By Chef Harpal Singh Sokhi,Multicuisine,"Phoenix Mall Of Asia, Yelahanka",Bengaluru,25,2000,4.3
The Charcoal Rooftop Cafe & Barbeque,Multicuisine,Chandra Layout,West Bengaluru,40,2000,2.5
The Charcoal Rooftop Cafe & Barbeque,Multicuisine,Chandra Layout,West Bengaluru,40,2000,2.5
The Collection,"Finger Food, Cocktail Menu",Four Seasons Hotel,Bengaluru,35,2500,5.0
The Collection,"Finger Food, Cocktail Menu",Four Seasons Hotel,Bengaluru,35,2500,5.0
 404 By TOF,Multicuisine,S.G. Palya,Bengaluru,35,1000,5.0
 404 By TOF,Multicuisine,S.G. Palya,Bengaluru,35,1000,5.0
Madam Chocolate,Desserts,Kalyan Nagar,North Bengaluru,25,400,4.0
Madam Chocolate,Desserts,Kalyan Nagar,North Bengaluru,25,400,4.0
Madam Chocolate,Desserts,Indiranagar,East Bengaluru,25,400,4.0
Madam Chocolate,Desserts,Indiranagar,East Bengaluru,25,400,4.0
Bannur Biryani Haus ,Biryani,Kammanahalli,East Bengaluru,35,500,4.0
Bannur Biryani Haus ,Biryani,Kammanahalli,East Bengaluru,35,500,4.0
Boba Bhai,Bubble Tea,Indiranagar,East Bengaluru,40,400,4.0
Boba Bhai,Bubble Tea,Indiranagar,East Bengaluru,40,400,4.0
Chai Galli,"Fast Food, Chinese",JP Nagar,South Bengaluru,40,400,4.0
Chai Galli,"Fast Food, Chinese",JP Nagar,South Bengaluru,40,400,4.0
Big Cup Café ,Continental,,,40,700,4.0
Big Cup Café ,Continental,,,40,700,4.0
The kin's,Fast Food,Sudhama Nagar,Central Bengaluru,35,500,4.0
The kin's,Fast Food,Sudhama Nagar,Central Bengaluru,35,500,4.0
The Rasoi,North Indian,Seshadripuram,Central Bengaluru,35,650,4.0
The Rasoi,North Indian,Seshadripuram,Central Bengaluru,35,650,4.0
Mekeba,Multicuisine,Koramangala,South Bengaluru,35,800,4.0
Mekeba,Multicuisine,Koramangala,South Bengaluru,35,800,4.0
Chicago Pizza,"Pizza, Pasta",Koramangala,South Bengaluru,45,300,4.0
Chicago Pizza,"Pizza, Pasta",Koramangala,South Bengaluru,45,300,4.0
Olio The Woodfired Pizzeria,"Italian, Pizza",Bellandur,South Bengaluru,40,500,4.0
Olio The Woodfired Pizzeria,"Italian, Pizza",Bellandur,South Bengaluru,40,500,4.0
Delhi Chaat House,North Indian,Indiranagar,East Bengaluru,40,2000,4.0
Delhi Chaat House,North Indian,Indiranagar,East Bengaluru,40,2000,4.0
Saji's Restaurant,Multicuisine,,,40,2000,4.0
Saji's Restaurant,Multicuisine,,,40,2000,4.0
Samosa Singh- Mall of Asia,Fast Food,Sahakara Nagar,North Bengaluru,45,200,4.0
Samosa Singh- Mall of Asia,Fast Food,Sahakara Nagar,North Bengaluru,45,200,4.0
SaDa Salads & Sips,Healthy Food,Kalyan Nagar,North Bengaluru,40,500,4.0
SaDa Salads & Sips,Healthy Food,Kalyan Nagar,North Bengaluru,40,500,4.0
Love Asia,Pan Asian,Kothanur,Bengaluru,25,1000,4.0
Love Asia,Pan Asian,Kothanur,Bengaluru,25,1000,4.0
Tim's Eatery,"Beverages, Mexican, Continental",Kalyan Nagar,North Bengaluru,35,1200,5.0
Tim's Eatery,"Beverages, Mexican, Continental",Kalyan Nagar,North Bengaluru,35,1200,5.0
Angaar Biryani,Biryani,Whitefield,East Bengaluru,35,2000,1.0
Angaar Biryani,Biryani,Whitefield,East Bengaluru,35,2000,1.0
Hotel Virat Siridarshni,"Chinese, North Indian",Rajajinagar,West Bengaluru,25,750,5.0
Hotel Virat Siridarshni,"Chinese, North Indian",Rajajinagar,West Bengaluru,25,750,5.0
Shree Kismat Kathiyawadi,Gujarati,Banaswadi,North Bengaluru,35,1000,5.0
Shree Kismat Kathiyawadi,Gujarati,Banaswadi,North Bengaluru,35,1000,5.0
The Dennys Pub,Multicuisine,Jayanagar,South Bengaluru,40,2000,5.0
The Dennys Pub,Multicuisine,Jayanagar,South Bengaluru,40,2000,5.0
Tanour Multi Cuisine,"Arabian, Chinese",BTM,South Bengaluru,25,600,5.0
Tanour Multi Cuisine,"Arabian, Chinese",BTM,South Bengaluru,25,600,5.0
Tex Mex Grill,American,Kalyan Nagar,North Bengaluru,35,2000,5.0
Tex Mex Grill,American,Kalyan Nagar,North Bengaluru,35,2000,5.0
Exotic - Cafe and Sheesha Lounge,Chinese,Lal Bagh Main Rd,Bengaluru,35,2000,5.0
Exotic - Cafe and Sheesha Lounge,Chinese,Lal Bagh Main Rd,Bengaluru,35,2000,5.0
Baileys Cafe & Restaurant,"Cafe, Beverages",Banaswadi,North Bengaluru,35,2000,5.0
Baileys Cafe & Restaurant,"Cafe, Beverages",Banaswadi,North Bengaluru,35,2000,5.0
Ibbanni Cafe & Bristo,Multicuisine,Subramanyapura,Bengaluru,35,600,5.0
Ibbanni Cafe & Bristo,Multicuisine,Subramanyapura,Bengaluru,35,600,5.0
Soul Indian Specialty,Indian,Svenska Design Hotel,Bengaluru,40,2000,4.0
Soul Indian Specialty,Indian,Svenska Design Hotel,Bengaluru,40,2000,4.0
Cafe Reset,"Healthy Food, Continental",Koramangala,South Bengaluru,35,2000,4.4
Cafe Reset,"Healthy Food, Continental",Koramangala,South Bengaluru,35,2000,4.4
Brew Meister Craft Beer and Kitchen,Finger Food,Jayanagar,South Bengaluru,25,2500,4.5
Brew Meister Craft Beer and Kitchen,Finger Food,Jayanagar,South Bengaluru,25,2500,4.5
Chill,"Finger Food, Cocktail Menu",Radha Hometel,Bengaluru,40,2000,3.3
Chill,"Finger Food, Cocktail Menu",Radha Hometel,Bengaluru,40,2000,3.3
Si Nonna's The Original Sourdough Pizza,Italian,Varthur,Bengaluru,25,1500,4.0
Si Nonna's The Original Sourdough Pizza,Italian,Varthur,Bengaluru,25,1500,4.0
Ninhao Asian Kitchen,Chinese,Koramangala,South Bengaluru,35,2000,4.0
Ninhao Asian Kitchen,Chinese,Koramangala,South Bengaluru,35,2000,4.0
Kailasam Veg Restaurant,Multicuisine,BTM,South Bengaluru,25,2000,5.0
Kailasam Veg Restaurant,Multicuisine,BTM,South Bengaluru,25,2000,5.0
The Eatery,Multicuisine,Four Points by Sheraton,Bengaluru,40,2000,4.3
The Eatery,Multicuisine,Four Points by Sheraton,Bengaluru,40,2000,4.3
The Fish Club - Seafood Restaurant,Seafood,BTM,South Bengaluru,35,500,3.0
The Fish Club - Seafood Restaurant,Seafood,BTM,South Bengaluru,35,500,3.0
Skydeck RR Nagar,Multicuisine,Rajarajeshwari Nagar,South Bengaluru,25,1200,4.3
Skydeck RR Nagar,Multicuisine,Rajarajeshwari Nagar,South Bengaluru,25,1200,4.3
De Zurich Lounge,Multicuisine,Kalyan Nagar,North Bengaluru,35,2000,4.7
De Zurich Lounge,Multicuisine,Kalyan Nagar,North Bengaluru,35,2000,4.7
Kasipu Resto Bar,"Chinese, Indian",Jalahalli,North Bengaluru,35,2500,3.8
Kasipu Resto Bar,"Chinese, Indian",Jalahalli,North Bengaluru,35,2500,3.8
The Spicy Plate,North Indian,HSR,South Bengaluru,25,2000,4.8
The Spicy Plate,North Indian,HSR,South Bengaluru,25,2000,4.8
 Amare - Patisserie by the scene,"Bakery, Desserts",JP Nagar,South Bengaluru,25,800,4.0
 Amare - Patisserie by the scene,"Bakery, Desserts",JP Nagar,South Bengaluru,25,800,4.0
Mosaic,Multicuisine,Hotel Country Inn,Bengaluru,35,2000,4.1
Mosaic,Multicuisine,Hotel Country Inn,Bengaluru,35,2000,4.1
Zaal Lounge & Kitchen,South Indian,Mahadevapura,Bengaluru,25,1200,4.0
Zaal Lounge & Kitchen,South Indian,Mahadevapura,Bengaluru,25,1200,4.0
Spice Cove,"Beverages, Multicuisine",Gandhi Nagar,Central Bengaluru,35,2000,3.5
Spice Cove,"Beverages, Multicuisine",Gandhi Nagar,Central Bengaluru,35,2000,3.5
Verve,Multicuisine,,,40,2000,4.2
Verve,Multicuisine,,,40,2000,4.2
The Clay Hut,Bengali,Koramangala,South Bengaluru,35,2000,3.9
The Clay Hut,Bengali,Koramangala,South Bengaluru,35,2000,3.9
Ancient Cafe,"Chinese, Thai, Vietnamese",Electronic City Phase 1,South Bengaluru,40,2000,4.7
Ancient Cafe,"Chinese, Thai, Vietnamese",Electronic City Phase 1,South Bengaluru,40,2000,4.7
Urban Dyne,Multicuisine,Chikkabellandur,East Bengaluru,25,2000,4.5
Urban Dyne,Multicuisine,Chikkabellandur,East Bengaluru,25,2000,4.5
Onyx ,Multicuisine,The HHI Select,Bengaluru,40,2000,4.3
Onyx ,Multicuisine,The HHI Select,Bengaluru,40,2000,4.3
Mesa Lounge Bar,"Chinese, North Indian",Svenska Design Hotel,Bengaluru,40,2000,4.0
Mesa Lounge Bar,"Chinese, North Indian",Svenska Design Hotel,Bengaluru,40,2000,4.0
Layover Bar,Multicuisine,Moxy,Bengaluru,40,2500,4.0
Layover Bar,Multicuisine,Moxy,Bengaluru,40,2500,4.0
Sai Food Palace,Multicuisine,JP Nagar,South Bengaluru,45,2000,5.0
Sai Food Palace,Multicuisine,JP Nagar,South Bengaluru,45,2000,5.0
Ambari Restaurant,Multicuisine,"Shivas Gateway Hotel, International Airport",Bengaluru,25,2000,3.0
Ambari Restaurant,Multicuisine,"Shivas Gateway Hotel, International Airport",Bengaluru,25,2000,3.0
Sea Meen Restaurant,Multicuisine,Koramangala,South Bengaluru,35,2000,4.3
Sea Meen Restaurant,Multicuisine,Koramangala,South Bengaluru,35,2000,4.3
Boozy Cove ,"Fast Food, Cafe",Sarjapur Road,South Bengaluru,25,2000,5.0
Boozy Cove ,"Fast Food, Cafe",Sarjapur Road,South Bengaluru,25,2000,5.0
Brahmadeva Foods,Multicuisine,Devanahalli,Bengaluru,45,2000,5.0
Brahmadeva Foods,Multicuisine,Devanahalli,Bengaluru,45,2000,5.0
Pure & Sure Organic Cafe,"Cafe, Indian, Vegan",Jayanagar,South Bengaluru,35,800,4.0
Pure & Sure Organic Cafe,"Cafe, Indian, Vegan",Jayanagar,South Bengaluru,35,800,4.0
Double Up,Finger Food,Hilton,Bengaluru,35,2500,4.5
Double Up,Finger Food,Hilton,Bengaluru,35,2500,4.5
Gallop Bar,"Finger Food, Cocktail Menu",Davanam Sarovar Portico Suites,Bengaluru,35,2000,4.3
Gallop Bar,"Finger Food, Cocktail Menu",Davanam Sarovar Portico Suites,Bengaluru,35,2000,4.3
Cheers Bar & Canteen,"European, Indian",Marathahalli,East Bengaluru,25,1000,4.5
Cheers Bar & Canteen,"European, Indian",Marathahalli,East Bengaluru,25,1000,4.5
Zoca Cafe,Multicuisine,Sahakara Nagar,North Bengaluru,40,2000,4.0
Zoca Cafe,Multicuisine,Sahakara Nagar,North Bengaluru,40,2000,4.0
Adhira & Appa Coffee,"Bakery, Cafe, Desserts",Old Madras Road,East Bengaluru,35,500,4.0
Adhira & Appa Coffee,"Bakery, Cafe, Desserts",Old Madras Road,East Bengaluru,35,500,4.0
Luxor Dine,Multicuisine,RT Nagar,North Bengaluru,25,1000,4.0
Luxor Dine,Multicuisine,RT Nagar,North Bengaluru,25,1000,4.0
Canyin Restaurant,Asian,New BEL Road,North Bengaluru,35,600,4.0
Canyin Restaurant,Asian,New BEL Road,North Bengaluru,35,600,4.0
Sky Lounge,"Chinese, Indian, Continental",Hotel Adora,Bengaluru,35,1200,4.0
Sky Lounge,"Chinese, Indian, Continental",Hotel Adora,Bengaluru,35,1200,4.0
Tandoori Wok,"North Indian, Chinese",Shanti Nagar,Central Bengaluru,35,2000,4.0
Tandoori Wok,"North Indian, Chinese",Shanti Nagar,Central Bengaluru,35,2000,4.0
Cinnamon,Multicuisine,Seshadripuram,Central Bengaluru,35,2000,4.0
Cinnamon,Multicuisine,Seshadripuram,Central Bengaluru,35,2000,4.0
Cafe Exhale,Multicuisine,Kalyan Nagar,North Bengaluru,35,2000,4.0
Cafe Exhale,Multicuisine,Kalyan Nagar,North Bengaluru,35,2000,4.0
MG's Fine Dining & Bar,Multicuisine,Springs Hotel & Spa,Bengaluru,35,2000,4.0
MG's Fine Dining & Bar,Multicuisine,Springs Hotel & Spa,Bengaluru,35,2000,4.0
Ivory Bar & Kitchen,"Cocktail Menu, Multicuisine",Gandhi Nagar,Central Bengaluru,35,2000,4.0
Ivory Bar & Kitchen,"Cocktail Menu, Multicuisine",Gandhi Nagar,Central Bengaluru,35,2000,4.0
Corel Family Lounge,Multicuisine,Gandhi Nagar,Central Bengaluru,35,2000,4.0
Corel Family Lounge,Multicuisine,Gandhi Nagar,Central Bengaluru,35,2000,4.0
Kanteen,Indian,Gandhi Nagar,Central Bengaluru,35,2000,4.0
Kanteen,Indian,Gandhi Nagar,Central Bengaluru,35,2000,4.0
Night Adda @ Onyx,Multicuisine,The HHI Select,Bengaluru,40,2000,4.0
Night Adda @ Onyx,Multicuisine,The HHI Select,Bengaluru,40,2000,4.0
Cafe Adda 43,European,Kalyan Nagar,North Bengaluru,35,2000,4.0
Cafe Adda 43,European,Kalyan Nagar,North Bengaluru,35,2000,4.0
Red chillies,Multicuisine,Hoodi,Bengaluru,35,700,4.0
Red chillies,Multicuisine,Hoodi,Bengaluru,35,700,4.0
Zaffran - North West Frontier Restaurant & Bar by TBC,North West Frontier,Marathahalli,East Bengaluru,25,2500,4.0
Zaffran - North West Frontier Restaurant & Bar by TBC,North West Frontier,Marathahalli,East Bengaluru,25,2500,4.0
Bekal,Multicuisine,Jeevan Bhima Nagar,East Bengaluru,35,2000,2.0
Bekal,Multicuisine,Jeevan Bhima Nagar,East Bengaluru,35,2000,2.0
Salut Gastropub,Multicuisine,Jayanagar,South Bengaluru,35,1000,4.2
Salut Gastropub,Multicuisine,Jayanagar,South Bengaluru,35,1000,4.2
Manbhavan Premium Thali Restaurant,Indian,Bhartiya Mall,Bengaluru,35,2000,4.0
Manbhavan Premium Thali Restaurant,Indian,Bhartiya Mall,Bengaluru,35,2000,4.0
Golden Metro Veg,Indian,Seshadripuram,Central Bengaluru,35,2000,3.8
Golden Metro Veg,Indian,Seshadripuram,Central Bengaluru,35,2000,3.8
Basaveshwar Khanavali,South Indian,Koramangala,South Bengaluru,25,2000,4.5
Basaveshwar Khanavali,South Indian,Koramangala,South Bengaluru,25,2000,4.5
Amritsar Haveli,Multicuisine,Yelahanka,North Bengaluru,25,2000,4.0
Amritsar Haveli,Multicuisine,Yelahanka,North Bengaluru,25,2000,4.0
Mixnosh Art Cafe,"Fusion, Continental","7th block, Jayanagar ",South Bengaluru,25,600,4.5
Mixnosh Art Cafe,"Fusion, Continental","7th block, Jayanagar ",South Bengaluru,25,600,4.5
Bamboo Cafe & Resto,Multicuisine,Koramangala 1st Block,South Bengaluru,35,2000,4.0
Bamboo Cafe & Resto,Multicuisine,Koramangala 1st Block,South Bengaluru,35,2000,4.0
Pavillion@Manyata,Multicuisine,Jakkur,Central Bengaluru,35,2500,4.0
Pavillion@Manyata,Multicuisine,Jakkur,Central Bengaluru,35,2500,4.0
Hotel Canton Family Restaurant & Bar,"Chinese, European",Jayanagar,South Bengaluru,35,2000,4.0
Hotel Canton Family Restaurant & Bar,"Chinese, European",Jayanagar,South Bengaluru,35,2000,4.0
D Square Restobar,"Andhra, Cocktail Menu",YN Hotels,Bengaluru,35,2000,4.0
D Square Restobar,"Andhra, Cocktail Menu",YN Hotels,Bengaluru,35,2000,4.0
Bento Bento,Pan Asian,Indiranagar,East Bengaluru,35,2000,3.7
Bento Bento,Pan Asian,Indiranagar,East Bengaluru,35,2000,3.7
Karavali Fisherman Mangalore Restaurant,Seafood,BTM,South Bengaluru,35,700,5.0
Karavali Fisherman Mangalore Restaurant,Seafood,BTM,South Bengaluru,35,700,5.0
Casa Piccosa,Multicuisine,JP Nagar,South Bengaluru,35,2000,3.3
Casa Piccosa,Multicuisine,JP Nagar,South Bengaluru,35,2000,3.3
Orbis Restaurant ,Multicuisine,Whitefield,East Bengaluru,40,2000,4.1
Orbis Restaurant ,Multicuisine,Whitefield,East Bengaluru,40,2000,4.1
The Studs Sports Bar,Multicuisine,Sahakara Nagar,North Bengaluru,25,1700,4.0
The Studs Sports Bar,Multicuisine,Sahakara Nagar,North Bengaluru,25,1700,4.0
Herbs & Spices,Indian,Whitefield,East Bengaluru,35,2000,3.9
Herbs & Spices,Indian,Whitefield,East Bengaluru,35,2000,3.9
Heritage,Multicuisine,Rajajinagar,West Bengaluru,25,2000,3.5
Heritage,Multicuisine,Rajajinagar,West Bengaluru,25,2000,3.5
Cafe E Fungi,Multicuisine, Bommanahalli,Bengaluru,40,2000,3.5
Cafe E Fungi,Multicuisine, Bommanahalli,Bengaluru,40,2000,3.5
Blurred,"Cocktail Menu, Multicuisine",Koramangala,South Bengaluru,35,2000,2.8
Blurred,"Cocktail Menu, Multicuisine",Koramangala,South Bengaluru,35,2000,2.8
Drinkology ,Multicuisine,"Gottigere, Bangalore",South Bengaluru,40,2000,4.0
Drinkology ,Multicuisine,"Gottigere, Bangalore",South Bengaluru,40,2000,4.0
Mad Doh,"Italian, Pizza",Electronic City,South Bengaluru,25,1100,4.0
Mad Doh,"Italian, Pizza",Electronic City,South Bengaluru,25,1100,4.0
Hebe's,Multicuisine,HSR,South Bengaluru,25,2000,4.5
Hebe's,Multicuisine,HSR,South Bengaluru,25,2000,4.5
Cakes Wagon,"Bakery, Desserts",Bellandur,South Bengaluru,45,2000,4.0
Cakes Wagon,"Bakery, Desserts",Bellandur,South Bengaluru,45,2000,4.0
Moxy Bar,Multicuisine,International Airport,North Bengaluru,45,2500,4.0
Moxy Bar,Multicuisine,International Airport,North Bengaluru,45,2500,4.0
Samosa Singh,Finger Food,Marathahalli,East Bengaluru,45,300,4.0
Samosa Singh,Finger Food,Marathahalli,East Bengaluru,45,300,4.0
Bakers Home,Desserts,Mahadevapura,Bengaluru,45,2000,4.0
Bakers Home,Desserts,Mahadevapura,Bengaluru,45,2000,4.0
Farm Fresh,Multicuisine,The Byke Signature,Bengaluru,40,1500,4.0
Farm Fresh,Multicuisine,The Byke Signature,Bengaluru,40,1500,4.0
MYKA Cafe & Boutique,Cafe,Rajarajeshwari Nagar,South Bengaluru,25,2000,5.0
MYKA Cafe & Boutique,Cafe,Rajarajeshwari Nagar,South Bengaluru,25,2000,5.0
Itihaas,"Chinese, Indian, South Indian",Chikkajala,Bengaluru,25,800,5.0
Itihaas,"Chinese, Indian, South Indian",Chikkajala,Bengaluru,25,800,5.0
Bangalore Cafe,Multicuisine,Chikkabellandur,East Bengaluru,25,800,5.0
Bangalore Cafe,Multicuisine,Chikkabellandur,East Bengaluru,25,800,5.0
Pizza Republic,Italian,Electronic City,South Bengaluru,40,2000,4.8
Pizza Republic,Italian,Electronic City,South Bengaluru,40,2000,4.8
Garci,Multicuisine,Jayanagar,South Bengaluru,25,1000,4.3
