Restaurants_Name,Cuisine,area,region,Discount,cost_of_two,ratings
Asia Alive - Global Dining,Multicuisine,DoubleTree Suites By Hilton,Bengaluru,40,2500,3.9
Cosmo Dhaba,"North Indian, Chinese",HSR,South Bengaluru,25,800,3.8
Cosmo Dhaba,"North Indian, Chinese",HSR,South Bengaluru,25,800,3.8
Jook Taproom,Multicuisine,Yelahanka,North Bengaluru,35,2000,4.4
Jook Taproom,Multicuisine,Yelahanka,North Bengaluru,35,2000,4.4
EtOH Rooftop Restaurant | Bar,Multicuisine,Electronic City,South Bengaluru,35,1000,5.0
EtOH Rooftop Restaurant | Bar,Multicuisine,Electronic City,South Bengaluru,35,1000,5.0
Copitas,"Cocktail Menu, Finger Food",Four Seasons Hotel,Bengaluru,40,2500,4.9
Copitas,"Cocktail Menu, Finger Food",Four Seasons Hotel,Bengaluru,40,2500,4.9
re:cess,Desserts,,,40,2000,4.7
re:cess,Desserts,,,40,2000,4.7
House of Commons,"Finger Food, North Indian",Indiranagar,East Bengaluru,25,1500,5.0
House of Commons,"Finger Food, North Indian",Indiranagar,East Bengaluru,25,1500,5.0
Seta,"Mediterranean, Asian",,,40,4500,4.8
Seta,"Mediterranean, Asian",,,40,4500,4.8
Rajwadi,Multicuisine,Brookefield,East Bengaluru,35,2000,3.9
Rajwadi,Multicuisine,Brookefield,East Bengaluru,35,2000,3.9
Marbella Multi Cuisine Rooftop,Multicuisine,JP Nagar,South Bengaluru,35,2000,3.8
Marbella Multi Cuisine Rooftop,Multicuisine,JP Nagar,South Bengaluru,35,2000,3.8
Hyderabad Firewood Biryani,Multicuisine,Panathur,Bengaluru,50,700,4.0
Hyderabad Firewood Biryani,Multicuisine,Panathur,Bengaluru,50,700,4.0
Rumi - The Spirit Of Awadh,"Awadhi, North Indian",Kothanur,Bengaluru,25,700,5.0
Rumi - The Spirit Of Awadh,"Awadhi, North Indian",Kothanur,Bengaluru,25,700,5.0
Coffee Brewery - Banashankari 6th Stage,Cafe,Banashankari,South Bengaluru,35,3000,5.0
Coffee Brewery - Banashankari 6th Stage,Cafe,Banashankari,South Bengaluru,35,3000,5.0
Kake Di Hatti Mekhri Circle,North Indian,Ganganagar,North Bengaluru,25,2000,5.0
Kake Di Hatti Mekhri Circle,North Indian,Ganganagar,North Bengaluru,25,2000,5.0
Food Affair - Veg Family Restaurant,Multicuisine,BTM,South Bengaluru,35,2000,4.7
Food Affair - Veg Family Restaurant,Multicuisine,BTM,South Bengaluru,35,2000,4.7
Baan Phadthai Indiranagar,Thai,Indiranagar,East Bengaluru,25,2000,4.0
Baan Phadthai Indiranagar,Thai,Indiranagar,East Bengaluru,25,2000,4.0
Lotus,Indian,Visthara Hotel,Bengaluru,40,2000,4.3
Lotus,Indian,Visthara Hotel,Bengaluru,40,2000,4.3
Xero Degrees,"American, Cafe, Italian",Koramangala,South Bengaluru,25,2000,4.3
Xero Degrees,"American, Cafe, Italian",Koramangala,South Bengaluru,25,2000,4.3
